client_id: -LtPNkt7PDVc8m3oSxkj
,Hello Cora,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
greeting,Ruth,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(mood),Yes good thanks!,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(from),Durham,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(usual_dinner),"Stir fry, tofu, pasta","{'intent': 'inform', 'entity': ['tofu', 'pasta'], 'entity_type': 'food', 'polarity': '+'}",,missing stir fry,,"['stir fry', 'tofu', 'pasta']",,,,,,,
request(filling),Light dinner,"{'intent': 'inform', 'entity': False, 'entity_type': 'hungry', 'polarity': None}",,,,,,,,,,,
request(healthy),Very,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,inform,TRUE,healthy',,,,,,
request(diet),I'm vegan,"{'intent': 'inform', 'entity': True, 'entity_type': 'vegan', 'polarity': None}",,,,,,,,,,,
request(time),Something quick,"{'intent': 'inform', 'entity': False, 'entity_type': 'time', 'polarity': None}",,,,,,,,,,,
inform(food),"No, I don't eat fish","{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",,,inform,['fish'],food,-,,,,,
inform(food),Yes sounds good,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(another),Yes please,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
inform(food),Yes I like that,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(another),No thanks,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",X,,,,,,,,,,
client_id: -Lt_0n-uns2vcKtOWKlk
,hello Cora,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
greeting,Jill,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(mood),Everything is fine thank you,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(from),I live near Liverpool,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(usual_dinner),I am a vegetarian so lots of vegetable based dishes,"{'intent': 'inform', 'entity': ['dishes'], 'entity_type': 'food', 'polarity': '+'}",,says vegan BUT has additionnal intolerances,inform,['vegetables'],food,+,,inform ,TRUE,vegan,None
request(filling),I am really hungry right now,"{'intent': 'inform', 'entity': True, 'entity_type': 'hungry', 'polarity': None}",,,,,,,,,,,
request(healthy),"very healthy, suitable for a vegan/vegetarian","{'intent': 'inform', 'entity': True, 'entity_type': 'healthy', 'polarity': None}",,,,,,,,inform ,TRUE,vegan,None
request(diet),allergies to shell fish,"{'intent': 'inform', 'entity': ['shell', 'fish'], 'entity_type': 'food', 'polarity': '+'}",,,inform,shellfish,intolerances,None,shell fish --> shellfish,inform ,['shellfish'],food,-
request(time),something quick to prepare please,"{'intent': 'inform', 'entity': False, 'entity_type': 'time', 'polarity': None}",,,,,,,,,,,
inform(food),That looks good and looks easy to prepare,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(another),yes please. anything which includes lots of vegetables,"{'intent': 'inform', 'entity': ['vegetables'], 'entity_type': 'food', 'polarity': '+'}",,,,,,,,,,,
inform(food),I like this recipe but would like a change from salmon,"{'intent': 'inform', 'entity': ['salmon'], 'entity_type': 'food', 'polarity': '+'}",,,inform,[salmon],food,-,she doesn't exactly dislike salmon though,,,,
inform(food),That looks very tasty,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(another),yes please but something different this time,"{'intent': 'inform', 'entity': True, 'entity_type': 'time', 'polarity': None}",,,yes,,,,asking for something different,,,,
inform(food),That sounds lovely but do you have any recipes that do not include salmon,"{'intent': 'inform', 'entity': ['salmon'], 'entity_type': 'food', 'polarity': '-'}",,,,,,,,,,,
inform(food),I like this idea very much.,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
client_id: -LtZiPwlIo6CbDQ0aAaH
,hello,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
greeting,rachael,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(mood),yeah great thank you,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(from),i live in blackburn england,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(usual_dinner),i normally have chicken and some sort of veg,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,"missing chicken, vegetables",inform,"[chicken, vegetables]",food,+,veg --> vegetables,,,,
request(filling),light dinner,"{'intent': 'inform', 'entity': False, 'entity_type': 'hungry', 'polarity': None}",,,,,,,,,,,
request(healthy),quite healthy,"{'intent': 'inform', 'entity': True, 'entity_type': 'healthy', 'polarity': None}",,,,,,,,,,,
request(diet),no none,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(time),something quick,"{'intent': 'inform', 'entity': False, 'entity_type': 'time', 'polarity': None}",,,,,,,,,,,
inform(food),great,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(another),no,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
client_id: -LtFl9BoIRn2rnnz_6KY
,Hello Cora,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
greeting,I'm fine but a bit peckish,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,says hungry,,,,,peckish --> hungry,,,,
request(filling),I'm very hungry,"{'intent': 'inform', 'entity': True, 'entity_type': 'hungry', 'polarity': None}",,,,,,,,,,,
request(healthy),moderately healthy,"{'intent': 'inform', 'entity': True, 'entity_type': 'healthy', 'polarity': None}",,,,,,,,,,,
request(diet),not at all,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(time),something quick please,"{'intent': 'inform', 'entity': False, 'entity_type': 'time', 'polarity': None}",,,,,,,,,,,
inform(food),i dont really like salmon,"{'intent': 'inform', 'entity': ['salmon'], 'entity_type': 'food', 'polarity': '+'}",,,inform,[salmon],food,-,dont --> don't,,,,
inform(food),i don't like salmon,"{'intent': 'inform', 'entity': ['salmon'], 'entity_type': 'food', 'polarity': '-'}",,,,,,,,,,,
inform(food),no,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",X,,,,,,,,,,
inform(food),i prefer something with rice,"{'intent': 'inform', 'entity': ['rice'], 'entity_type': 'food', 'polarity': '+'}",,,,,,,,,,,
inform(food),no,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",X,,,,,,,,,,
client_id: -Lt_1h8b7u8wYUVw_ZH5
,hello cora,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
greeting,C,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(mood),"Im doing good, everything is great and yourself?","{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
request(from),I live in the UK,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
