,gender,living_in_UK,fq1,fq2,fq3,fq4,fq5,fq6,fq7,Healthiness_trait,fillingness_trait,intention_to_cook,healthiness_state,fillingness_state,healthiness,fillingness
5c955419bd4bd9001995fa47,male,not_in_UK,3,2,5,2,4,5,2,0.166666667,0.041666667,2.6,1,1,0.583333334,0.520833334
5d920df12b679a00182bbc73,female,born_here,4,4,4,3,1,4,1,0.041666667,0.208333333,1,1,1,0.520833334,0.604166667
5d9d17b575f2320016c55550,female,less_5y,3,4,1,1,3,4,0,-0.041666667,0.083333333,1.2,1,-1,0.479166667,-0.458333334
5cf91e3f1756e60017a30568,female,not_in_UK,2,2,5,3,5,5,4,0.083333333,-0.041666667,0.4,1,-1,0.541666667,-0.520833334
5d9a125f1714540016a40a27,female,not_in_UK,3,3,3,3,2,5,3,0,0.125,3,1,-1,0.5,-0.4375
5d8f73849f7774001b90b23e,female,born_here,2,3,2,0,5,5,4,0.041666667,-0.166666667,0.2,0,1,0.020833334,0.416666667
591a1f4800a5650001276188,male,not_in_UK,1,2,2,3,4,4,4,-0.083333333,-0.041666667,4,1,1,0.458333334,0.479166667
5c4a45dda8c31a000141a752,female,not_in_UK,2,2,5,1,6,5,5,0.166666667,-0.208333333,1.2,0,1,0.083333334,0.395833334
5c314de6d5fc960001d2cb93,female,not_in_UK,3,3,2,4,5,4,5,-0.083333333,-0.083333333,6,1,-1,0.458333334,-0.541666667
5b58be8a51ac08000194fcd4,female,born_here,4,1,5,1,3,4,5,0.291666667,-0.125,2.6,-1,-1,-0.354166667,-0.5625
5c9aa9ba39138e00169a4eb6,male,not_in_UK,1,6,4,1,4,5,4,-0.083333333,-0.083333333,4,1,1,0.458333334,0.458333334
5c0e94f62932300001e2e0d3,male,not_in_UK,0,3,1,2,1,3,0,-0.166666667,0.166666667,2.4,0,1,-0.083333334,0.583333334
5aad8499e1546900019aef29,male,born_here,5,3,4,2,3,4,3,0.166666667,0,5.6,-1,0,-0.416666667,0
5d6048d1a57d77001e8950e1,female,not_in_UK,1,1,1,1,1,5,3,0,0.083333333,4.2,1,1,0.5,0.541666667
5db06d09b3844500159a0619,female,born_here,3,4,5,3,5,4,1,0.041666667,0.041666667,1.8,1,1,0.520833334,0.520833334
596e6e5cd7919800014b49b8,male,born_here,1,4,1,4,3,3,3,-0.25,0.041666667,0,1,0,0.375,0.020833334
5b5f25f8477efe0001b05c4d,female,not_in_UK,4,2,3,3,4,5,3,0.083333333,0.041666667,2.6,-1,-1,-0.458333334,-0.479166667
5dcab789be3c0f79130c7319,male,not_in_UK,4,1,3,2,3,2,4,0.166666667,-0.125,6,0,1,0.083333334,0.4375
5cb08b95600ba8001213,female,born_here,1,1,1,0,2,2,2,0.041666667,-0.083333333,4.2,1,-1,0.520833334,-0.541666667
5d6e3252dfe6d10001dbe508,male,1st_y,1,2,1,4,3,4,2,-0.166666667,0.125,3.6,0,0,-0.083333334,0.0625
