id,prolific_id,XP_condition,age,education,employment,freq_cook,from,gender,living_in_UK,fq1,fq2,fq3,fq4,fq5,fq6,fq7,q1,q17,q18,q19,q2,q24,q3,q4,q5,q6,q7,q8,q8_r,q10,q11,q12,q13,q14,q15,q16,q20,q21,q27,q9,food_val_state,food_val_trait,food_values,n_accepted_reco,n_queries,n_reco,n_seed_ingredients,queries,seed_ingredients,duration,free_text_about_cora,free_text_about_study
LteIHwHoxWkRbT9BzH1,5c41d7ff14748200015064a8,no_ack,18-29,graduate,['full-time'],occasionnaly,Portugal,male,not_in_UK,0,2,3,4,0,0,5,2,0,0,0,5,0,3,6,3,3,1,5,1,5,0,3,6,2,5,0,0,0,6,1,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': -0.06}","{'food_fillingness': -0.51, 'healthiness': 0.47}",1,1,2,1,['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],00:04:31,"No, thank you. ","No, thank you."
LteIQ-8RFvCYYwHRcoz,5d82c130b2a176001516235a,no_ack,30-49,udergrad,['full-time'],several_t_w,USA,female,not_in_UK,0,1,3,0,5,3,1,0,5,5,5,5,0,1,0,2,1,0,0,6,4,4,5,6,2,5,0,5,4,6,1,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.05, 'food_fillingness': -0.06, 'healthiness': 0.04}","{'food_fillingness': -0.53, 'healthiness': 0.52}",1,1,3,1,['onion&maxReadyTime=5000&excludeIngredients=dairy&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],00:05:57,,"This was interesting, and if Cora was real, I would use her! Even though it wasn't perfect for me, it was super easy and fast! Typically I just browse the web for new meal ideas, so it was nice to chat with ""someone"" to get a new meal idea."
LteIQ0QWFIpEsaZbeQf,5d4c78071b920f00198e8533,no_ack,50-69,secondary,['part-time'],several_t_w,United States,female,more_10y,3,2,2,2,3,4,2,6,6,6,6,6,0,6,6,6,6,3,1,5,3,6,5,6,6,6,0,6,6,6,6,"{'food_fillingness': 1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': 0.02}","{'food_fillingness': 0.51, 'healthiness': 0.51}",2,1,3,1,['soup&maxReadyTime=5000&intolerances=gluten&excludeIngredients=gluten&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['soup'],00:03:25,it was helpful,no
LteIR6gBwrHv5HQ0OUo,5cc9bc7031164b00011997fa,no_ack,30-49,PhD,['full-time'],once_day,uk,female,born_here,4,4,4,2,5,5,5,2,0,1,0,5,0,2,3,0,3,1,6,0,2,0,0,5,1,1,0,0,0,6,2,"{'food_fillingness': 1, 'healthiness': 0}","{'comfort': -0.05, 'food_fillingness': -0.06, 'healthiness': 0.04}","{'food_fillingness': 0.47, 'healthiness': 0.52}",3,1,5,1,"['soup&maxReadyTime=21&excludeIngredients=beans,pulses&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']",['soup'],00:04:17,,
LteIRZ8e9AF-UH_2DMg,5cfc3d486e9951001a0cb8cd,no_ack,30-49,udergrad,['full-time'],several_t_w,USA,male,1st_y,2,3,6,2,1,2,3,6,4,4,5,6,2,5,6,6,6,5,0,6,4,6,3,5,6,6,3,5,5,6,5,"{'food_fillingness': 1, 'healthiness': 0}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.06}","{'food_fillingness': 0.5, 'healthiness': 0.53}",2,1,2,1,['soup&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['soup'],00:02:50,,
LteISHIYTKVSvIzDoNE,5d4dde416b5daa0001cd771f,no_ack,30-49,udergrad,['full-time'],several_t_w,UK,male,born_here,4,4,3,2,3,4,4,5,3,3,4,4,1,4,4,4,5,4,1,5,6,5,5,6,5,5,3,4,4,6,4,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.02}","{'food_fillingness': -0.51, 'healthiness': 0.51}",1,1,2,1,['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],00:04:49,Would like opportunity to specify what ingredients we have available ,None
LteISYxIIGjVmT0FVz0,597ba81afd9fe500011672e2,no_ack,18-29,udergrad,['student'],several_t_w,Israel,male,not_in_UK,1,2,0,1,5,2,5,2,6,1,4,5,0,3,6,5,6,1,5,1,6,4,1,6,2,4,4,2,2,6,2,"{'food_fillingness': 1, 'healthiness': 0}","{'comfort': -0.11666666666666667, 'food_fillingness': -0.14, 'healthiness': -0.04}","{'food_fillingness': 0.43, 'healthiness': 0.48}",0,1,3,1,"['soup&maxReadyTime=21&excludeIngredients=nuts,almond&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']",['soup'],00:06:31,"The inner pictures (showing the food) should be cropped in a more traditional shape - round or square, because in most of them the picture of prepared meal did not showed the meal.",
LteISoV4ZenF10nIQBR,59906c57b2bf030001c4f1ce,no_ack,50-69,graduate,['full-time'],once_w,United Kingdom,female,born_here,4,4,3,4,6,4,3,1,1,1,1,6,1,1,2,2,2,0,6,0,6,0,1,3,1,0,0,1,1,6,2,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': -0.02}","{'food_fillingness': -0.51, 'healthiness': 0.49}",1,1,3,1,['onion&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],00:07:18,Vegetarian - Cora kept trying to feed me fish & meat. I think Cora could have done with more information about my preferences before we got started trying to feed me!,
LteIT4-Wzy6ebSST9z4,5d75da6f6b18580001a52ea3,no_ack,18-29,secondary,['unemployed'],several_t_w,Hungary,male,not_in_UK,1,3,2,4,3,2,5,6,5,3,5,3,4,1,5,6,1,2,4,2,1,0,2,1,3,1,4,3,4,3,6,"{'food_fillingness': 1, 'healthiness': 0}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': -0.08}","{'food_fillingness': 0.48, 'healthiness': 0.46}",1,1,1,1,['soup&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['soup'],00:02:49,,
LteIWNwXqfv-vuoqxBz,5d5d1da6f66bd400187e50c9,no_ack,18-29,udergrad,['student'],once_day,India,male,not_in_UK,1,0,1,2,4,4,3,4,1,2,3,5,0,3,6,3,5,4,2,4,5,4,3,5,5,3,4,3,3,6,4,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.0}","{'food_fillingness': -0.51, 'healthiness': 0.5}",1,1,2,1,['onion&maxReadyTime=61&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],00:04:31,,
