id,prolific_id,XP_condition,CA_familiarity,age,education,employment,freq_cook,from,gender,living_in_UK,fq1,fq2,fq3,fq4,fq5,fq6,fq7,q1,q17,q18,q19,q2,q24,q3,q4,q5,q6,q7,q8,q8_r,q10,q11,q12,q13,q14,q15,q16,q20,q21,q27,q9,food_val_state,food_val_trait,food_values,n_accepted_reco,n_queries,n_reco,n_seed_ingredients,queries,seed_ingredients,duration,free_text_about_cora,free_text_about_study
LyEeSve_TxnbdomOoU7,5da3416c106746001687393d,no_ack,very_familiar,18-29,college,['full-time'],several_t_w,manchester,female,born_here,3,2,3,4,6,4,2,6,6,5,5,6,0,6,6,5,5,1,1,5,6,6,5,6,6,5,4,5,5,6,6,"{'food_fillingness': 0.25, 'healthiness': 0.75}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.0}","{'food_fillingness': 0.125, 'healthiness': 0.375}",1,1,1,1,['&maxReadyTime=31&diet=vegetarian&includeIngredients=spinach&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['spinach'],00:03:36,really impressed,
LyEeT7L3XgB_L2HAycV,5d3a11ab26ef9c0001d95a30,no_ack,somewhat_familiar,30-49,udergrad,['full-time'],several_t_w,Portugal,female,1st_y,3,3,3,1,3,1,0,5,5,5,5,5,0,5,5,4,5,2,4,2,5,6,6,5,6,5,2,6,5,6,5,"{'food_fillingness': 0.75, 'healthiness': 0.25}","{'comfort': -0.041666666666666664, 'food_fillingness': -0.041666666666666664, 'healthiness': 0.08333333333333333}","{'food_fillingness': 0.3541666666666667, 'healthiness': 0.16666666666666666}",1,1,1,1,['noodle%20&maxReadyTime=61&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2'],[''],00:04:59,,
LyEeV0TghMdNLzZMkQc,5d08fdef9da87a001eed4634,no_ack,very_familiar,18-29,udergrad,['full-time'],once_day,UK,female,born_here,4,1,3,1,4,4,3,6,6,6,6,6,5,6,6,5,6,5,0,6,4,6,3,5,6,5,2,6,6,6,5,"{'food_fillingness': 0.75, 'healthiness': 0.75}","{'comfort': -0.08333333333333333, 'food_fillingness': -0.08333333333333333, 'healthiness': 0.20833333333333334}","{'food_fillingness': 0.3333333333333333, 'healthiness': 0.4791666666666667}",2,1,2,1,['&maxReadyTime=21&diet=vegetarian&includeIngredients=spinach&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['spinach'],00:03:45,Would be good to list multiple ingredients in fridge and Cora to provide recipe based on what I already have. ,Absolutely amazing concept!
LyEeV4GuFs6dHQUhyog,5832fa8996ecce0001d65197,no_ack,very_familiar,30-49,college,['unemployed'],several_t_w,United States,female,not_in_UK,1,4,1,3,3,4,1,4,5,5,5,6,1,6,6,5,6,5,0,6,6,6,6,5,6,6,5,5,5,6,5,"{'food_fillingness': -0.75, 'healthiness': 0.75}","{'comfort': 0.125, 'food_fillingness': 0.125, 'healthiness': -0.20833333333333334}","{'food_fillingness': -0.3125, 'healthiness': 0.2708333333333333}",2,1,3,1,['&maxReadyTime=31&includeIngredients=chicken&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['chicken'],00:04:49,Pleasant experience and easy to use,
LyEeV_ASFkQegFff5Jm,5defad479db50d000d727ed1,no_ack,somewhat_familiar,30-49,college,['student'],once_day,United States,female,not_in_UK,2,1,2,1,3,3,3,2,3,3,3,5,1,3,3,2,3,3,3,3,4,2,2,3,2,3,1,3,3,6,1,"{'food_fillingness': 0.75, 'healthiness': 0.75}","{'comfort': -0.08333333333333333, 'food_fillingness': -0.08333333333333333, 'healthiness': 0.08333333333333333}","{'food_fillingness': 0.3333333333333333, 'healthiness': 0.4166666666666667}",1,3,5,2,"['soup&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', 'stir%20fry&maxReadyTime=5000&excludeIngredients=curry&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', '&maxReadyTime=5000&includeIngredients=Quorn&excludeIngredients=curry,tofu,pork&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2']","['', 'Quorn']",00:05:27,,
LyEeWVrPTW-RULcp8WK,5d49517db30ae500195794cd,no_ack,somewhat_familiar,18-29,graduate,['student'],several_t_w,Pakistan,male,not_in_UK,0,3,1,1,5,5,0,4,4,5,5,4,1,3,5,4,4,3,2,4,4,5,5,5,5,5,5,5,5,6,5,"{'food_fillingness': 0.5, 'healthiness': 0.5}","{'comfort': 0.041666666666666664, 'food_fillingness': 0.041666666666666664, 'healthiness': -0.125}","{'food_fillingness': 0.2708333333333333, 'healthiness': 0.1875}",4,2,6,2,"['&maxReadyTime=61&includeIngredients=chicken,spaghetti,tuna&excludeIngredients=pork&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10', '&maxReadyTime=61&includeIngredients=tuna&excludeIngredients=pork&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10']","['chicken,spaghetti,tuna', 'tuna']",00:08:52,,
LyEeYYwxkJZBrIDtnbE,5d9145f4383584001a28db0b,no_ack,somewhat_familiar,30-49,udergrad,['unemployed'],several_t_w,Belgium,male,not_in_UK,2,3,3,2,5,3,5,4,3,4,2,4,0,2,4,3,3,1,5,1,1,3,2,2,4,5,1,4,4,6,2,"{'food_fillingness': 1.0, 'healthiness': -0.25}","{'comfort': -0.20833333333333334, 'food_fillingness': -0.20833333333333334, 'healthiness': 0.0}","{'food_fillingness': 0.3958333333333333, 'healthiness': -0.125}",3,4,6,4,"['&maxReadyTime=61&includeIngredients=onion,cream,chicken&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10', '&maxReadyTime=61&includeIngredients=onion,cream&excludeIngredients=chicken&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10', '&maxReadyTime=61&includeIngredients=onion,cream,meat,cream&excludeIngredients=chicken&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10', '&maxReadyTime=61&includeIngredients=cream&excludeIngredients=chicken&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10']","['onion,cream,chicken', 'onion,cream', 'onion,cream,meat,cream', 'cream']",00:14:12,"I was impressed by the first proposition, I wrote ""onions, chicken and cream"" and it offered a waterzooi that contained what I asked, then a vegetarian ravioli looked nice, after I asked meat and cream as ingredients but the answer didn't match, it just answered to 'another recipe?' not what I asked. It lacked in real interaction, at that point I ""knew"" it was a bot and not a person.","Nice study, thank you."
LyEeeHsAuiBPxoW8mrY,5c2cfd833b9bae0001135324,no_ack,somewhat_familiar,18-29,college,['full-time'],once_day,Spain,female,less_5y,1,2,3,4,0,2,3,6,6,6,6,6,5,6,6,5,5,6,0,6,6,6,6,6,6,6,6,6,6,6,6,"{'food_fillingness': 0.75, 'healthiness': 0.5}","{'comfort': 0.125, 'food_fillingness': 0.125, 'healthiness': -0.08333333333333333}","{'food_fillingness': 0.4375, 'healthiness': 0.20833333333333334}",1,1,1,1,['&maxReadyTime=11&intolerances=dairy&includeIngredients=rice&excludeIngredients=dairy&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10'],['rice'],00:04:45,,
LyEegZCYfNf_JnIya02,5df03fabc1ef790aa5595f8f,no_ack,somewhat_familiar,30-49,udergrad,['part-time'],several_t_w,UK,female,born_here,2,3,2,2,1,3,1,1,0,0,0,6,0,0,3,5,6,0,6,0,5,0,0,6,1,3,5,0,0,6,0,"{'food_fillingness': -0.75, 'healthiness': 0.75}","{'comfort': 0.125, 'food_fillingness': 0.125, 'healthiness': -0.041666666666666664}","{'food_fillingness': -0.3125, 'healthiness': 0.3541666666666667}",2,2,3,2,"['&maxReadyTime=31&includeIngredients=squid&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2', '&maxReadyTime=31&includeIngredients=beans&excludeIngredients=fish&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=2']","['squid', 'beans']",00:06:01,no,very different and enjoyable
LyEfVP1UVGFGFLyq_Fn,5d46cc091a2c130001ebc8cc,no_ack,somewhat_familiar,18-29,secondary,['full-time'],several_t_w,Belgium,female,not_in_UK,3,3,1,2,2,4,4,4,2,1,2,5,0,2,5,1,5,1,3,3,1,1,0,4,4,4,0,1,2,6,3,"{'food_fillingness': -0.75, 'healthiness': 0.5}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': -0.041666666666666664}","{'food_fillingness': -0.375, 'healthiness': 0.22916666666666666}",0,2,1,2,"['&maxReadyTime=5000&intolerances=seafood&includeIngredients=peas,sweets,corn&excludeIngredients=seafood&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10', '&maxReadyTime=5000&intolerances=seafood&includeIngredients=corn&excludeIngredients=seafood&fillIngredients=true&addRecipeInformation=true&minCalories=0&minFat=0&minSugar=0&minProtein=0&minCarbs=0&minSodium=0&number=10']","['peas,sweets,corn', 'corn']",00:05:11,It didn't respond to my request of getting a replacement recipe,"not really, it was a fun study. Good luck!"
