,prolific_id_NONE,prolific_id_robot,prolific_id_human,question_NONE,question_robot,question_human,score_NONE,score_robot,score_human,average_over_questions_NONE,average_over_questions_robot,average_over_questions_human
0,5cd168e9f651de0015a062d2,5b7c89c4db11320001c43c05,5c955419bd4bd9001995fa47,q17,q17,q17,5.0,4.0,3.0,5.0,3.4,2.6
1,5ce16d99dd4e16001971d693,5c5d09991bca630001ea7cb5,5d920df12b679a00182bbc73,q17,q17,q17,6.0,6.0,1.0,4.8,6.0,1.0
2,5c486433929dc500011c908a,5d7d75f4ea2fe40001dff5a4,5d9d17b575f2320016c55550,q17,q17,q17,5.0,5.0,2.0,5.2,5.4,1.2
3,59ba957d3a9ab60001118fc2,5c56550e54f9d30001db7f50,5cf91e3f1756e60017a30568,q17,q17,q17,4.0,1.0,1.0,3.8,3.6,0.4
4,5d6bbd83a9d20a0001de4c75,598c282ccceb0f0001b39660,5d9a125f1714540016a40a27,q17,q17,q17,4.0,0.0,3.0,4.8,0.0,3.0
5,5dae25fc2e361800135fbd02,57f697c6733f560001b5898b,5d8f73849f7774001b90b23e,q17,q17,q17,3.0,2.0,1.0,3.4,2.8,0.2
6,5cdfb5e4b5dcb500011d0d07,5d4551340196ac0001b914a5,591a1f4800a5650001276188,q17,q17,q17,1.0,3.0,4.0,1.4,3.0,4.0
7,5d3067ad3c028b001782ab68,5b213220809d160001a2c36d,5c4a45dda8c31a000141a752,q17,q17,q17,5.0,3.0,1.0,5.0,3.0,1.2
8,5b212164cfbf200001cfb3ad,5d07da55ac77d8001580abb4,5c314de6d5fc960001d2cb93,q17,q17,q17,3.0,4.0,6.0,3.2,3.2,6.0
9,5c4d7aa4d3a5e30001834302,5b7c89c4db11320001c43c05,5b58be8a51ac08000194fcd4,q17,q18,q17,3.0,3.0,4.0,2.6,,2.6
10,5cd168e9f651de0015a062d2,5c5d09991bca630001ea7cb5,5c9aa9ba39138e00169a4eb6,q18,q18,q17,5.0,6.0,4.0,,,4.0
11,5ce16d99dd4e16001971d693,5d7d75f4ea2fe40001dff5a4,5c955419bd4bd9001995fa47,q18,q18,q18,5.0,5.0,3.0,,,
12,5c486433929dc500011c908a,5c56550e54f9d30001db7f50,5d920df12b679a00182bbc73,q18,q18,q18,6.0,4.0,1.0,,,
13,59ba957d3a9ab60001118fc2,598c282ccceb0f0001b39660,5d9d17b575f2320016c55550,q18,q18,q18,4.0,0.0,1.0,,,
14,5d6bbd83a9d20a0001de4c75,57f697c6733f560001b5898b,5cf91e3f1756e60017a30568,q18,q18,q18,5.0,2.0,0.0,,,
15,5dae25fc2e361800135fbd02,5d4551340196ac0001b914a5,5d9a125f1714540016a40a27,q18,q18,q18,3.0,3.0,3.0,,,
16,5cdfb5e4b5dcb500011d0d07,5b213220809d160001a2c36d,5d8f73849f7774001b90b23e,q18,q18,q18,1.0,3.0,0.0,,,
17,5d3067ad3c028b001782ab68,5d07da55ac77d8001580abb4,591a1f4800a5650001276188,q18,q18,q18,5.0,4.0,4.0,,,
18,5b212164cfbf200001cfb3ad,5b7c89c4db11320001c43c05,5c4a45dda8c31a000141a752,q18,q19,q18,2.0,4.0,2.0,,,
19,5c4d7aa4d3a5e30001834302,5c5d09991bca630001ea7cb5,5c314de6d5fc960001d2cb93,q18,q19,q18,3.0,6.0,6.0,,,
20,5cd168e9f651de0015a062d2,5d7d75f4ea2fe40001dff5a4,5b58be8a51ac08000194fcd4,q19,q19,q18,5.0,6.0,3.0,,,
21,5ce16d99dd4e16001971d693,5c56550e54f9d30001db7f50,5c9aa9ba39138e00169a4eb6,q19,q19,q18,6.0,5.0,4.0,,,
22,5c486433929dc500011c908a,598c282ccceb0f0001b39660,5c955419bd4bd9001995fa47,q19,q19,q19,5.0,0.0,3.0,,,
23,59ba957d3a9ab60001118fc2,57f697c6733f560001b5898b,5d920df12b679a00182bbc73,q19,q19,q19,4.0,6.0,2.0,,,
24,5d6bbd83a9d20a0001de4c75,5d4551340196ac0001b914a5,5d9d17b575f2320016c55550,q19,q19,q19,5.0,3.0,1.0,,,
25,5dae25fc2e361800135fbd02,5b213220809d160001a2c36d,5cf91e3f1756e60017a30568,q19,q19,q19,4.0,3.0,1.0,,,
26,5cdfb5e4b5dcb500011d0d07,5d07da55ac77d8001580abb4,5d9a125f1714540016a40a27,q19,q19,q19,2.0,4.0,3.0,,,
27,5d3067ad3c028b001782ab68,5b7c89c4db11320001c43c05,5d8f73849f7774001b90b23e,q19,q20,q19,5.0,3.0,0.0,,,
28,5b212164cfbf200001cfb3ad,5c5d09991bca630001ea7cb5,591a1f4800a5650001276188,q19,q20,q19,3.0,6.0,4.0,,,
29,5c4d7aa4d3a5e30001834302,5d7d75f4ea2fe40001dff5a4,5c4a45dda8c31a000141a752,q19,q20,q19,3.0,5.0,1.0,,,
30,5cd168e9f651de0015a062d2,5c56550e54f9d30001db7f50,5c314de6d5fc960001d2cb93,q20,q20,q19,5.0,3.0,6.0,,,
31,5ce16d99dd4e16001971d693,598c282ccceb0f0001b39660,5b58be8a51ac08000194fcd4,q20,q20,q19,2.0,0.0,4.0,,,
32,5c486433929dc500011c908a,57f697c6733f560001b5898b,5c9aa9ba39138e00169a4eb6,q20,q20,q19,5.0,2.0,4.0,,,
33,59ba957d3a9ab60001118fc2,5d4551340196ac0001b914a5,5c955419bd4bd9001995fa47,q20,q20,q20,4.0,3.0,2.0,,,
34,5d6bbd83a9d20a0001de4c75,5b213220809d160001a2c36d,5d920df12b679a00182bbc73,q20,q20,q20,5.0,3.0,0.0,,,
35,5dae25fc2e361800135fbd02,5d07da55ac77d8001580abb4,5d9d17b575f2320016c55550,q20,q20,q20,3.0,1.0,1.0,,,
36,5cdfb5e4b5dcb500011d0d07,5b7c89c4db11320001c43c05,5cf91e3f1756e60017a30568,q20,q21,q20,2.0,3.0,0.0,,,
37,5d3067ad3c028b001782ab68,5c5d09991bca630001ea7cb5,5d9a125f1714540016a40a27,q20,q21,q20,5.0,6.0,3.0,,,
