1,greeting,Ruth,"{'intent': 'inform', 'entity': 'Ruth', 'entity_type': 'user_name', 'polarity': None}",,,,,,,,,,,
2,request(mood),Yes good thanks!,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
3,request(from),Durham,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
4,request(usual_dinner),"Stir fry, tofu, pasta","{'intent': 'inform', 'entity': ['tofu', 'pasta', 'stir fry'], 'entity_type': 'food', 'polarity': '+'}",,,,,,,,,,,
5,request(filling),Light dinner,"{'intent': 'inform', 'entity': False, 'entity_type': 'hungry', 'polarity': None}",,,,,,,,,,,
6,request(healthy),Very,"{'intent': 'inform', 'entity': 0.75, 'entity_type': 'healthy', 'polarity': None}",,,,,,,,,,,
7,request(diet),I'm vegan,"{'intent': 'inform', 'entity': True, 'entity_type': 'vegan', 'polarity': None}",,,,,,,,,,,
8,request(time),Something quick,"{'intent': 'inform', 'entity': False, 'entity_type': 'time', 'polarity': None}",,,,,,,,,,,
9,inform(food),"No, I don't eat fish","{'intent': 'inform', 'entity': ['fish'], 'entity_type': 'food', 'polarity': '-'}",,,,,,,,,,,
10,inform(food),Yes sounds good,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
11,request(another),Yes please,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
12,inform(food),Yes I like that,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
13,request(another),No thanks,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
14,client_id: -Lt_0n-uns2vcKtOWKlk,,,,,,,,,,,,,
15,,hello Cora,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
16,greeting,Jill,"{'intent': 'inform', 'entity': 'Jill', 'entity_type': 'user_name', 'polarity': None}",,,,,,,,,,,
17,request(mood),Everything is fine thank you,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
18,request(from),I live near Liverpool,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
19,request(usual_dinner),I am a vegetarian so lots of vegetable based dishes,"{'intent': 'inform', 'entity': ['vegetables'], 'entity_type': 'food', 'polarity': '+'}",,,,,,,,,,,
20,request(filling),I am really hungry right now,"{'intent': 'inform', 'entity': True, 'entity_type': 'hungry', 'polarity': None}",,,,,,,,,,,
21,request(healthy),"very healthy, suitable for a vegan/vegetarian","{'intent': 'inform', 'entity': 0.75, 'entity_type': 'healthy', 'polarity': None}",,,,,,,,,,,
22,request(diet),allergies to shell fish,"{'intent': 'inform', 'entity': ['shellfish'], 'entity_type': 'intolerances', 'polarity': None}",,,,,,,,,,,
23,request(time),something quick to prepare please,"{'intent': 'inform', 'entity': False, 'entity_type': 'time', 'polarity': None}",,,,,,,,,,,
24,inform(food),That looks good and looks easy to prepare,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
25,request(another),yes please. anything which includes lots of vegetables,"{'intent': 'inform', 'entity': ['vegetables'], 'entity_type': 'food', 'polarity': '+'}",,,,,,,,,,,
26,inform(food),I like this recipe but would like a change from salmon,"{'intent': 'inform', 'entity': ['salmon'], 'entity_type': 'food', 'polarity': '-'}",,,,,,,,,,,
27,inform(food),That looks very tasty,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
28,request(another),yes please but something different this time,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
29,inform(food),That sounds lovely but do you have any recipes that do not include salmon,"{'intent': 'inform', 'entity': ['salmon'], 'entity_type': 'food', 'polarity': '-'}",,,,,,,,,,,
30,inform(food),I like this idea very much.,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
31,client_id: -LtZiPwlIo6CbDQ0aAaH,,,,,,,,,,,,,
32,,hello,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
33,greeting,rachael,"{'intent': 'inform', 'entity': 'Rachael', 'entity_type': 'user_name', 'polarity': None}",,,,,,,,,,,
34,request(mood),yeah great thank you,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
35,request(from),i live in blackburn england,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
36,request(usual_dinner),i normally have chicken and some sort of veg,"{'intent': 'inform', 'entity': ['vegetables', 'chicken'], 'entity_type': 'food', 'polarity': '+'}",,,,,,,,,,,
37,request(filling),light dinner,"{'intent': 'inform', 'entity': False, 'entity_type': 'hungry', 'polarity': None}",,,,,,,,,,,
38,request(healthy),quite healthy,"{'intent': 'inform', 'entity': 0.75, 'entity_type': 'healthy', 'polarity': None}",,,,,,,,,,,
39,request(diet),no none,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
40,request(time),something quick,"{'intent': 'inform', 'entity': False, 'entity_type': 'time', 'polarity': None}",,,,,,,,,,,
41,inform(food),great,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
42,request(another),no,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
43,client_id: -LtFl9BoIRn2rnnz_6KY,,,,,,,,,,,,,
44,,Hello Cora,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
45,request(mood),I'm fine but a bit peckish,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
46,request(filling),I'm very hungry,"{'intent': 'inform', 'entity': True, 'entity_type': 'hungry', 'polarity': None}",,,,,,,,,,,
47,request(healthy),moderately healthy,"{'intent': 'inform', 'entity': 0.5, 'entity_type': 'healthy', 'polarity': None}",,,,,,,,,,,
48,request(diet),not at all,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
49,request(time),something quick please,"{'intent': 'inform', 'entity': False, 'entity_type': 'time', 'polarity': None}",,,,,,,,,,,
50,inform(food),i dont really like salmon,"{'intent': 'inform', 'entity': ['salmon'], 'entity_type': 'food', 'polarity': '-'}",,,,,,,,,,,
51,inform(food),i don't like salmon,"{'intent': 'inform', 'entity': ['salmon'], 'entity_type': 'food', 'polarity': '-'}",,,,,,,,,,,
52,inform(food),no,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
53,inform(food),i prefer something with rice,"{'intent': 'inform', 'entity': ['rice'], 'entity_type': 'food', 'polarity': '+'}",,,,,,,,,,,
54,inform(food),no,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
55,client_id: -Lt_1h8b7u8wYUVw_ZH5,,,,,,,,,,,,,
56,,hello cora,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
57,greeting,C,"{'intent': 'inform', 'entity': 'C', 'entity_type': 'user_name', 'polarity': None}",,,,,,,,,,,
58,request(mood),"Im doing good, everything is great and yourself?","{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
59,request(from),I live in the UK,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
60,request(usual_dinner),"Pizza, lasagne, pasta, roast dinner, fish and chips, Chinese food, curry.","{'intent': 'inform', 'entity': ['pizza', 'pasta', 'fish', 'chip', 'lasagne', 'roast dinner', 'chinese food', 'curry'], 'entity_type': 'food', 'polarity': '+'}",,,,,,,,,,,
61,request(filling),hungry,"{'intent': 'inform', 'entity': True, 'entity_type': 'hungry', 'polarity': None}",,,,,,,,,,,
62,request(healthy),not too unhealthy but not super healthy either in the middle!,"{'intent': 'inform', 'entity': 0, 'entity_type': 'healthy', 'polarity': None}",,,,,,,,,,,
63,request(diet),none,"{'intent': 'no', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
64,request(time),quick!,"{'intent': 'inform', 'entity': False, 'entity_type': 'time', 'polarity': None}",,,,,,,,,,,
65,inform(food),thanks for the recommendation,"{'intent': 'IDK', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
66,request(another),yes please,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
67,inform(food),cool,"{'intent': 'yes', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
68,client_id: -LtZiREPJGQBV-0HgutW,,,,,,,,,,,,,
69,,Hi,"{'intent': 'greeting', 'entity': None, 'entity_type': None, 'polarity': None}",,,,,,,,,,,
