,prolific_id_NONE,question_NONE,score_NONE,average_over_questions_NONE,prolific_id_robot,question_robot,score_robot,average_over_questions_robot,prolific_id_human,question_human,score_human,average_over_questions_human
0,5d39ddd133672b0015557242,question17,5.0,5.0,59edc2c816ecc200016ff9cc,question17,2.0,3.2,5c5c4f764ee81200018eaabe,question17,5.0,5.0
1,5bfff3be0ef039000138b699,question17,0.0,0.6,5d77a8b3bedf45000187c499,question17,4.0,4.6,5baa1f618e137f00016264c9,question17,5.0,5.0
2,5850ad3a1c68630001f52533,question17,2.0,2.6,5c6b031a18f539000128f7f9,question17,4.0,4.0,5b44a7f13f470b0001fad504,question17,6.0,5.4
3,5c93de86cf602b000170c25d,question17,4.0,3.6,5a18625a0fff620001a6d60e,question17,4.0,3.4,5a95694a4eecca0001dd4721,question17,4.0,3.0
4,5a6a206f3fb6420001c2d9ef,question17,1.0,2.2,5980f96d413c230001291b41,question17,2.0,2.6,5af892053aba4900015f0592,question17,3.0,3.0
5,5d7946c85d4c06001a5fca59,question17,5.0,4.2,5a6ff03b9cdd18000177543a,question17,2.0,3.6,5c82f678a4c44a001484dc00,question17,1.0,1.8
6,5ca219fec977ef0001547071,question17,3.0,2.4,5cd56625e7f4580015c77130,question17,3.0,3.0,5c5c4f764ee81200018eaabe,question18,5.0,
7,5b3d0c7477cb3a00019c1bb3,question17,5.0,2.6,59edc2c816ecc200016ff9cc,question18,4.0,,5baa1f618e137f00016264c9,question18,5.0,
8,5d39ddd133672b0015557242,question18,5.0,,5d77a8b3bedf45000187c499,question18,4.0,,5b44a7f13f470b0001fad504,question18,5.0,
9,5bfff3be0ef039000138b699,question18,1.0,,5c6b031a18f539000128f7f9,question18,5.0,,5a95694a4eecca0001dd4721,question18,3.0,
10,5850ad3a1c68630001f52533,question18,2.0,,5a18625a0fff620001a6d60e,question18,4.0,,5af892053aba4900015f0592,question18,3.0,
11,5c93de86cf602b000170c25d,question18,4.0,,5980f96d413c230001291b41,question18,1.0,,5c82f678a4c44a001484dc00,question18,2.0,
12,5a6a206f3fb6420001c2d9ef,question18,2.0,,5a6ff03b9cdd18000177543a,question18,5.0,,5c5c4f764ee81200018eaabe,question19,5.0,
13,5d7946c85d4c06001a5fca59,question18,4.0,,5cd56625e7f4580015c77130,question18,3.0,,5baa1f618e137f00016264c9,question19,5.0,
14,5ca219fec977ef0001547071,question18,2.0,,59edc2c816ecc200016ff9cc,question19,2.0,,5b44a7f13f470b0001fad504,question19,6.0,
15,5b3d0c7477cb3a00019c1bb3,question18,1.0,,5d77a8b3bedf45000187c499,question19,5.0,,5a95694a4eecca0001dd4721,question19,3.0,
16,5d39ddd133672b0015557242,question19,5.0,,5c6b031a18f539000128f7f9,question19,4.0,,5af892053aba4900015f0592,question19,3.0,
17,5bfff3be0ef039000138b699,question19,1.0,,5a18625a0fff620001a6d60e,question19,3.0,,5c82f678a4c44a001484dc00,question19,2.0,
18,5850ad3a1c68630001f52533,question19,4.0,,5980f96d413c230001291b41,question19,4.0,,5c5c4f764ee81200018eaabe,question20,5.0,
19,5c93de86cf602b000170c25d,question19,4.0,,5a6ff03b9cdd18000177543a,question19,4.0,,5baa1f618e137f00016264c9,question20,5.0,
20,5a6a206f3fb6420001c2d9ef,question19,3.0,,5cd56625e7f4580015c77130,question19,3.0,,5b44a7f13f470b0001fad504,question20,5.0,
21,5d7946c85d4c06001a5fca59,question19,4.0,,59edc2c816ecc200016ff9cc,question20,4.0,,5a95694a4eecca0001dd4721,question20,3.0,
22,5ca219fec977ef0001547071,question19,3.0,,5d77a8b3bedf45000187c499,question20,5.0,,5af892053aba4900015f0592,question20,3.0,
23,5b3d0c7477cb3a00019c1bb3,question19,3.0,,5c6b031a18f539000128f7f9,question20,3.0,,5c82f678a4c44a001484dc00,question20,2.0,
24,5d39ddd133672b0015557242,question20,5.0,,5a18625a0fff620001a6d60e,question20,3.0,,5c5c4f764ee81200018eaabe,question21,5.0,
25,5bfff3be0ef039000138b699,question20,1.0,,5980f96d413c230001291b41,question20,2.0,,5baa1f618e137f00016264c9,question21,5.0,
26,5850ad3a1c68630001f52533,question20,3.0,,5a6ff03b9cdd18000177543a,question20,4.0,,5b44a7f13f470b0001fad504,question21,5.0,
27,5c93de86cf602b000170c25d,question20,3.0,,5cd56625e7f4580015c77130,question20,3.0,,5a95694a4eecca0001dd4721,question21,2.0,
28,5a6a206f3fb6420001c2d9ef,question20,2.0,,59edc2c816ecc200016ff9cc,question21,4.0,,5af892053aba4900015f0592,question21,3.0,
29,5d7946c85d4c06001a5fca59,question20,4.0,,5d77a8b3bedf45000187c499,question21,5.0,,5c82f678a4c44a001484dc00,question21,2.0,
30,5ca219fec977ef0001547071,question20,2.0,,5c6b031a18f539000128f7f9,question21,4.0,,,,,
31,5b3d0c7477cb3a00019c1bb3,question20,1.0,,5a18625a0fff620001a6d60e,question21,3.0,,,,,
32,5d39ddd133672b0015557242,question21,5.0,,5980f96d413c230001291b41,question21,4.0,,,,,
33,5bfff3be0ef039000138b699,question21,0.0,,5a6ff03b9cdd18000177543a,question21,3.0,,,,,
34,5850ad3a1c68630001f52533,question21,2.0,,5cd56625e7f4580015c77130,question21,3.0,,,,,
35,5c93de86cf602b000170c25d,question21,3.0,,,,,,,,,
36,5a6a206f3fb6420001c2d9ef,question21,3.0,,,,,,,,,
37,5d7946c85d4c06001a5fca59,question21,4.0,,,,,,,,,
38,5ca219fec977ef0001547071,question21,2.0,,,,,,,,,
39,5b3d0c7477cb3a00019c1bb3,question21,3.0,,,,,,,,,
