id,prolific_id,XP_condition,age,education,employment,freq_cook,from,gender,living_in_UK,question1,question2,question3,question4,question5,question6,question7,question1,question17,question18,question19,question2,question22,question23,question24,question3,question4,question5,question6,question7,question8,question8_reversed,question10,question11,question12,question13,question14,question15,question16,question20,question21,question25,question26,question27,question9,food_val_state,food_val_trait,food_values,n_accepted_reco,n_queries,n_reco,n_seed_ingredients,queries,seed_ingredients,duration,free_text_about_cora,free_text_about_study
LtUrO5AEPt7epWWhd96,5c703ae661dd7e0001a15495,NONE,18-29,udergrad,['student'],once_day,Germany,male,not_in_UK,3,5,4,3,6,5,6,6,6,6,6,6,5,0,0,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,0,0,6,6,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.06666666666666667, 'food_fillingness': -0.08, 'healthiness': -0.02}","{'food_fillingness': -0.54, 'healthiness': 0.49}",1,2,5,2,"['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'fennel&maxReadyTime=21&excludeIngredients=avocado,onion&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['onion', 'fennel']",0:06:18,"This was very interesting, much better than expected! I tried to type in a way that Cora might not understand me but she understood everything.","I like the design of the survey, it's different than most of the surveys and I can see that someone took their time and much effort to make this."
LtUsjHIn2pi15OF5yGj,5ba4e5c0236c690001d2b3ca,human,30-49,graduate,['full-time'],once_day,United Kingdom,male,born_here,3,4,3,2,5,5,3,4,4,5,5,5,4,2,4,4,4,5,5,4,2,4,4,5,5,6,5,5,4,4,5,3,6,6,4,"{'food_fillingness': -1, 'healthiness': -1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.0}","{'food_fillingness': -0.51, 'healthiness': 0.0}",0,1,1,1,['pepper&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],0:04:33,,
LtUu-EX4H6Po160IsCG,5d71413ae86c170001aa28ef,human,30-49,graduate,['unemployed'],occasionnaly,greece,female,not_in_UK,2,3,3,2,5,5,2,4,4,3,3,4,1,5,3,1,1,1,2,2,0,6,0,1,0,5,3,1,1,5,3,6,1,6,1,"{'food_fillingness': 0, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.0}","{'food_fillingness': 0.0, 'healthiness': 1}",3,1,4,1,['carrot&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['carrot'],0:11:36,Talking with cora was like chatting with a computer programme.,I had a good time 
LtUuJvK_wzKBvjY1BL9,57ed0f89226dff0001579c05,robot,30-49,graduate,['full-time'],several_t_w,Greece,male,not_in_UK,3,1,1,2,4,3,5,4,5,4,4,4,3,1,1,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,6,4,"{'food_fillingness': -1, 'healthiness': -1}","{'comfort': -0.06666666666666667, 'food_fillingness': -0.08, 'healthiness': 0.02}","{'food_fillingness': -0.54, 'healthiness': 0.010000000000000009}",2,1,5,1,['pepper&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['pepper'],0:05:14,,
LtUuKj5kf1pJ6izfQYW,5d40688398eff00001b7f3de,NONE,18-29,graduate,['full-time'],once_day,Exeter,male,born_here,0,4,3,2,3,4,5,2,3,3,4,5,2,2,2,5,6,4,4,4,3,3,5,3,1,5,1,5,2,3,2,4,4,6,1,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': -0.06}","{'food_fillingness': -0.52, 'healthiness': 0.97}",1,3,5,3,"['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'spinach&maxReadyTime=21&excludeIngredients=broccoli&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'tomatoes&maxReadyTime=21&excludeIngredients=broccoli,spinach&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['broccoli', 'spinach', 'tomatoes']",0:06:52,Her recommendations are way too healthy for my diet.,No.
LtUuLmmauLkP4K-fnqC,57655c729dcd970001dbdb54,robot,30-49,udergrad,['full-time'],once_day,UK,female,born_here,4,3,3,3,5,3,2,3,0,3,4,2,0,3,6,3,4,5,6,3,3,3,4,0,2,5,3,3,1,3,3,5,0,6,1,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.02}","{'food_fillingness': 0.49, 'healthiness': 1}",2,1,3,1,['%20salad&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['%20salad'],0:06:09,"I wasn't sure if Cora understood vegan as a requirement as she offered me fish in the first recipe.
Also healthy doesn't just mean cold salads I was recommend too many salad dishes for winter season. ",
LtUuLslG8X9TicmvTN1,5c587fb58fba0a000189f4d8,NONE,18-29,college,['student'],once_day,italy,male,not_in_UK,2,1,3,3,4,4,5,5,2,2,5,5,5,5,5,4,3,5,4,2,4,2,4,5,4,5,6,3,5,5,4,5,5,6,3,"{'food_fillingness': 0, 'healthiness': 0}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.02}","{'food_fillingness': -0.02, 'healthiness': 0.51}",1,1,1,1,['beans&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['beans'],0:07:12,,
LtUuM4SWlKuXFbWnI33,5cb054d63d9dea00163baddc,robot,30-49,college,['full-time'],once_day,UK,male,born_here,4,4,6,2,1,4,1,4,4,4,4,5,5,2,2,2,3,3,5,3,2,4,2,4,5,5,5,4,2,4,4,3,3,6,3,"{'food_fillingness': 1, 'healthiness': 0}","{'comfort': 0.06666666666666667, 'food_fillingness': 0.08, 'healthiness': 0.08}","{'food_fillingness': 0.54, 'healthiness': 0.54}",0,1,2,1,['rice%20&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['rice%20'],0:11:19,I think Cora would provide a good service,
LtUuMosvfGNZlFq7jDr,5ccc758ab11510001584a1af,robot,18-29,udergrad,['student'],once_day,Portugal,male,not_in_UK,1,1,2,4,4,6,3,6,6,4,6,6,5,2,5,6,6,5,6,5,1,5,5,6,6,5,6,6,5,6,3,2,4,6,4,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.05, 'food_fillingness': 0.06, 'healthiness': -0.04}","{'food_fillingness': 0.53, 'healthiness': 0.98}",1,2,4,2,"['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', '%20salad&maxReadyTime=21&excludeIngredients=fish&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['salmon', '%20salad']",0:11:37,"Well a nice thing that would be good for Cora would be to know if the people are vegetarian, vegan or meat eaters in advance, that would be very easy for people to choose the recipes. A thing that bothered me was the fact that i asked for a recipe for a drink and the only thing that she game me was a food recipe with a drink in the preparation. But in conclusion it was a very good bot and i really enjoyed her. It would be a service that i would look for in the future.
Another thing that could be good as well was to ask for which ingredients people had at home so they don't need to shop to make those recipes.",I really enjoyed it
LtUuMyrdsN-23Y15mJw,5a8599792a842c0001fcbacb,human,30-49,graduate,['part-time'],once_day,United States,male,not_in_UK,2,3,4,4,3,4,4,4,3,4,4,4,2,1,4,3,4,4,4,4,1,5,4,4,4,5,4,4,3,4,4,3,3,6,4,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.02}","{'food_fillingness': -0.49, 'healthiness': 0.99}",1,1,1,1,['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:06:40,,
LtUuN20mdZdmsQmfMNt,5beaf551ef9cd800015c658d,NONE,18-29,college,['full-time'],several_t_w,Uk,female,born_here,4,1,2,2,5,4,1,1,0,2,1,2,0,2,0,1,2,1,0,1,5,1,3,0,0,4,1,2,0,0,1,5,1,6,1,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.06}","{'food_fillingness': 0.5, 'healthiness': 1}",0,2,5,2,"['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', '%20salad&maxReadyTime=21&excludeIngredients=fish&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['salmon', '%20salad']",0:04:54,,
LtUuOLoQFtQZn1VtQ0X,5d533625b45aff0001980b1a,NONE,30-49,graduate,['full-time'],several_t_w,Somerset,male,born_here,4,3,4,3,2,4,4,3,1,2,4,3,4,0,2,3,3,3,4,2,5,1,4,3,4,4,4,4,2,3,3,6,5,6,3,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': 0.04}","{'food_fillingness': -0.49, 'healthiness': 0.52}",1,1,1,1,['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],0:07:23,Good start to the human interaction,None
LtUuOT5rW0lCLhkcceR,5d3190340334500019f10d7d,human,18-29,college,['full-time'],several_t_w,Bristish ,female,born_here,2,3,2,2,3,4,1,4,4,5,5,5,5,1,0,4,5,5,5,4,1,5,5,5,5,5,5,4,5,5,5,2,5,6,5,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.03333333333333333, 'food_fillingness': 0.04, 'healthiness': -0.02}","{'food_fillingness': -0.48, 'healthiness': 0.99}",1,1,1,1,['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:05:36,No everything seemed to go well the reply was a bit quick which made you think she would have had to read very fast but apart from that great! ,Nothing else I would like to share 
LtUuOUuc82johaAkRg3,5ba22e8977ca3100017a349c,human,30-49,graduate,['full-time'],once_day,Spain,male,less_5y,5,2,5,2,4,3,4,4,2,6,6,6,2,0,5,3,5,5,6,4,1,5,3,6,5,6,6,4,2,6,6,4,4,6,6,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.05, 'food_fillingness': -0.06, 'healthiness': 0.12}","{'food_fillingness': -0.53, 'healthiness': 1}",2,1,2,1,['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:09:03,It was a very interesting interaction with Cora. It was quite simple but useful since she really found an appealing recipe for me. That was fun.,
LtUuOY6qYhGIHMh0qgn,5b0742e36f73510001fdbb8b,robot,18-29,college,"['part-time', 'student']",once_day,UK,female,born_here,1,2,2,1,3,3,3,3,4,4,5,6,2,1,3,3,5,3,5,3,1,5,6,6,4,5,4,5,1,4,4,5,1,6,4,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.0}","{'food_fillingness': 0.48, 'healthiness': 1}",2,2,4,2,"['salmon&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', '%20salad&maxReadyTime=5000&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['salmon', '%20salad']",0:07:18,,
LtUuOZJmq3-YNqrXfia,5bfb097f1cd5430001fc88c2,NONE,50-69,secondary,['full-time'],several_t_w,Britain,male,born_here,3,3,4,3,4,4,4,5,2,4,5,6,6,0,0,3,3,5,6,3,2,4,6,6,4,6,6,6,6,4,6,1,4,6,1,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.02}","{'food_fillingness': -0.51, 'healthiness': 1}",3,2,4,2,"['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'spinach&maxReadyTime=21&excludeIngredients=pepper&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['broccoli', 'spinach']",0:09:23,Fine,
