id,prolific_id,XP_condition,age,education,employment,freq_cook,from,gender,living_in_UK,fq1,fq2,fq3,fq4,fq5,fq6,fq7,q1,q17,q18,q19,q2,q24,q3,q4,q5,q6,q7,q8,q8_r,q10,q11,q12,q13,q14,q15,q16,q20,q21,q27,q9,food_val_state,food_val_trait,food_values,n_accepted_reco,n_queries,n_reco,n_seed_ingredients,queries,seed_ingredients,duration,free_text_about_cora,free_text_about_study
LtZhz6d24RKRuaJ0vEx,5b7c89c4db11320001c43c05,robot,18-29,college,['full-time'],once_day,"Alabama, USA",female,not_in_UK,1,3,1,3,3,3,3,6,4,3,4,6,6,6,6,6,6,6,1,5,4,5,4,5,6,6,5,3,3,6,6,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': -0.08}","{'food_fillingness': 0.5, 'healthiness': 0.96}",1,1,1,1,['salmon&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],0:04:36,,
LtZiHj0xXPmlndqLVSE,5c5d09991bca630001ea7cb5,robot,18-29,college,['student'],once_day,Portugal,male,not_in_UK,4,1,4,3,1,5,2,5,6,6,6,6,6,3,3,4,5,3,3,3,6,6,6,6,6,4,2,6,6,6,6,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.08333333333333333, 'food_fillingness': 0.1, 'healthiness': 0.08}","{'food_fillingness': -0.45, 'healthiness': 1}",1,1,3,1,['spinach&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],0:06:11,,
LtZiPP9zlLC9MIgqcNL,5c955419bd4bd9001995fa47,human,30-49,college,['full-time'],several_t_w,Denmark,male,not_in_UK,3,2,5,2,4,5,2,5,3,3,3,5,5,4,5,5,5,1,1,5,3,3,1,4,4,3,4,2,2,6,4,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': 0.08}","{'food_fillingness': 0.51, 'healthiness': 1}",1,1,3,1,['salmon&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],0:08:39,"it was fun to try, but i didn't mention salmon.",no
LtZiPwlIo6CbDQ0aAaH,5d7d75f4ea2fe40001dff5a4,robot,30-49,college,['full-time'],once_day,"blackburn, england",female,born_here,4,4,3,4,5,4,5,5,5,5,6,5,6,5,5,5,6,5,0,6,5,6,5,6,6,6,4,5,6,6,5,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': -0.02}","{'food_fillingness': -0.52, 'healthiness': 0.99}",1,1,1,1,['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:03:29,its a good idea!,no
LtZiQGBl22q7MJxszhF,5cd168e9f651de0015a062d2,NONE,18-29,college,['student'],several_t_w,Spain,female,not_in_UK,3,1,2,1,3,4,3,5,5,5,5,5,3,5,6,5,5,5,2,4,5,5,4,6,5,5,4,5,5,6,5,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.06}","{'food_fillingness': -0.51, 'healthiness': 0.53}",2,2,4,2,"['onion&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'fennel&maxReadyTime=5000&excludeIngredients=onion&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['onion', 'fennel']",0:06:44,It was fun!,
LtZiR6nKUQJBTEmU0p_,5d920df12b679a00182bbc73,human,30-49,PhD,['full-time'],occasionnaly,UK,female,born_here,4,4,4,3,1,4,1,0,1,1,2,5,5,6,6,6,6,0,6,0,6,4,0,6,0,4,1,0,1,6,1,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.08333333333333333, 'food_fillingness': 0.1, 'healthiness': 0.02}","{'food_fillingness': 0.55, 'healthiness': 1}",1,1,4,1,['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],0:07:06,,
LtZiREPJGQBV-0HgutW,5ce16d99dd4e16001971d693,NONE,30-49,udergrad,['full-time'],once_day,uk,female,born_here,3,4,3,4,6,2,2,6,6,5,6,6,6,6,6,6,6,6,0,6,5,4,3,6,6,6,4,2,5,6,3,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': -0.04}","{'food_fillingness': -0.52, 'healthiness': 0.98}",1,1,4,1,['broccoli&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:18:27,Good,Good
LtZiRP79MNyQLB85C4e,5c486433929dc500011c908a,NONE,18-29,udergrad,['student'],once_day,Portugal,female,not_in_UK,5,4,5,3,5,5,5,5,5,6,5,6,3,5,6,5,5,4,0,6,4,5,5,6,5,6,4,5,5,6,6,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.06}","{'food_fillingness': 0.48, 'healthiness': 1}",2,1,2,1,['%20salad&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['%20salad'],0:05:53,,
LtZiRjjqLwNOXh3g-KL,5c56550e54f9d30001db7f50,robot,30-49,graduate,['unemployed'],once_w,United Kingdom,male,born_here,5,2,2,1,4,5,5,4,1,4,5,5,6,5,5,4,4,5,2,4,5,5,5,4,5,4,6,3,5,6,5,"{'food_fillingness': 0, 'healthiness': 0}","{'comfort': -0.05, 'food_fillingness': -0.06, 'healthiness': 0.08}","{'food_fillingness': -0.03, 'healthiness': 0.54}",1,1,3,1,['beans&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['beans'],0:04:51,"dislike the sentences about hard drives, usb sticks, and bytes. i know its a bot, but to feel more related to it, it has to sound more human like. and for a non technical person, the information given is hard to read.",it worked smoothly
LtZiRt7LDHuHbEtlysD,5d9d17b575f2320016c55550,human,30-49,graduate,['part-time'],once_w,Do not wish to answer,female,less_5y,3,4,1,1,3,4,0,0,2,1,1,1,4,0,0,0,4,0,6,0,0,0,0,5,1,0,0,1,1,6,2,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.03333333333333333, 'food_fillingness': 0.04, 'healthiness': -0.02}","{'food_fillingness': -0.48, 'healthiness': 0.99}",1,1,5,1,['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:07:03,"It was not an interaction at all! I asked how many calories were in the dish and she did not answer (this is extremely important for me). I said I do not like spicy and she offered me something that actually might be spicy et etc. At the end she was just bombarding me with broccoli recipes no matter what I was saying. It is a very, very basic chatbot. ",
